Film ,Major_Studio,Rotten_Tomatoes,Audience_Score,Genre,Domestic_Gross,Foreign_Gross,Worldwide_Gross,Budget,Profitability,Oscar,Release_time
Halloween,The Weinstein Company,26,64,Horror,58.27,20.2,78.47,20,392.35,0,2007
Happily N'Ever After,Lionsgate,4,43,Animation,15.59,22.5,38.08,47,81.03,0,2007
Harry Potter and the Order of the Phoenix,Warner Bros.,78,82,Adventure,292,647.88,939.88,150,626.59,0,2007
Hitman,Fox,15,61,Action,39.69,60.28,99.96,17.5,571.22,0,2007
Hostel: Part II,Lionsgate,44,45,Horror,17.61,18.01,35.62,10,356.2,0,2007
I Am Legend,Warner Bros.,69,69,Thriller,256.39,327.76,584.16,150,389.44,0,2007
I Now Pronounce You Chuck and Larry,Universal,13,73,Comedy,120.06,65.99,186.05,85,218.89,0,2007
In the Land of Women,Warner Bros.,43,72,Comedy,11.05,6.51,17.56,10,175.62,0,2007
Into the Wild,Paramount,82,90,Drama,18.35,37.28,55.63,15,370.9,0,2007
Juno,Fox,94,89,Comedy,143.5,87.69,231.18,7.5,3082.46,1,2007
Knocked Up,Universal,91,83,Comedy,148.77,70.23,219,33,663.64,0,2007
License to Wed,Warner Bros.,8,55,Comedy,43.8,25.51,69.31,35,198.02,0,2007
Lions for Lambs,Independent,27,48,Drama,15,48.21,63.21,35,180.6,0,2007
Live Free or Die Hard,Fox,79,86,Action,134.53,249,383.53,110,348.66,0,2007
Meet the Robinsons,Disney,66,75,Animation,97.82,71.51,169.33,100,169.33,0,2007
Michael Clayton,Independent,90,72,Thriller,49.03,43.96,92.99,25,371.97,1,2007
Mr. Brooks,MGM,56,75,Thriller,28.55,19.57,48.12,20,240.61,0,2007
Mr. Magorium's Wonder Emporium,Independent,36,56,Fantasy,32.06,36.89,68.95,25,275.79,0,2007
Music and Lyrics,Warner Bros.,63,70,Romance,50.57,95.32,145.9,40,364.74,0,2007
Nancy Drew,Independent,49,61,Thriller,25.61,5.05,30.67,20,153.33,0,2007
National Treasure: Book of Secrets,Disney,31,72,Thriller,219.96,237.4,457.36,130,351.82,0,2007
